,loraname,training_step,prompt_id,timestamp,eval_person_llm,eval_image_quality_llm,eval_limb_quality_llm,eval_artifacts_quality_llm,eval_same_person_llm,eval_prompt_adherence_llm,eval_prompt_adherence_llm_simpler_prompt,clip_score
16,personal-lora-fluxdev-florence2-r16,000200,01,20250107135335,1.0,0.85,0.8,0.6,0.9,0.8,0.9,32.4841
17,personal-lora-fluxdev-florence2-r16,001200,01,20250107142853,1.0,0.8,0.95,0.95,0.95,0.8,0.8,28.2095
18,personal-lora-fluxdev-florence2-r16,000400,02,20250107080519,1.0,0.9,0.8,0.7,0.8,0.7,0.8,34.112
19,personal-lora-fluxdev-florence2-r16,001800,02,20250107085427,0.0,0.9,0.0,0.95,0.0,0.2,0.4,28.5315
20,personal-lora-fluxdev-florence2-r16,000600,02,20250107081220,0.0,0.9,0.3,0.85,0.0,0.0,0.5,30.2089
21,personal-lora-fluxdev-florence2-r16,002000,02,20250107145712,1.0,0.9,0.95,0.85,0.95,0.2,0.0,26.4289
22,personal-lora-fluxdev-florence2-r16,000200,02,20250107075818,1.0,0.9,0.8,0.8,0.3,0.8,0.7,32.2365
23,personal-lora-fluxdev-florence2-r16,000800,02,20250107081921,0.0,0.9,0.0,0.8,0.0,0.2,0.5,32.3938
24,personal-lora-fluxdev-florence2-r16,001800,00,20250107144946,1.0,0.85,0.9,0.8,0.9,0.9,0.85,27.3294
25,personal-lora-fluxdev-florence2-r16,003400,02,20250107095040,0.0,0.9,0.0,0.7,0.0,0.3,0.5,28.7708
26,personal-lora-fluxdev-florence2-r16,003000,02,20250107093636,1.0,0.9,0.9,0.7,0.95,0.5,0.5,30.5013
27,personal-lora-fluxdev-florence2-r16,001000,02,20250107142204,1.0,0.9,0.8,0.7,0.8,0.6,0.7,31.6326
28,personal-lora-fluxdev-florence2-r16,003200,00,20250107094314,1.0,0.95,0.1,0.8,0.95,0.85,0.9,27.6819
29,personal-lora-fluxdev-florence2-r16,001200,00,20250107083300,0.0,0.9,0.8,0.95,0.2,0.3,0.2,23.8963
30,personal-lora-fluxdev-florence2-r16,003200,00,20250107153901,1.0,0.8,0.9,0.9,1.0,0.9,0.9,27.2047
31,personal-lora-fluxdev-florence2-r16,002800,00,20250107152455,1.0,0.85,0.9,0.9,1.0,0.8,0.8,27.0542
32,personal-lora-fluxdev-florence2-r16,001600,00,20250107144246,1.0,0.9,0.5,0.8,0.7,0.6,0.5,24.4062
33,personal-lora-fluxdev-florence2-r16,002400,00,20250107151051,1.0,0.9,0.7,0.8,0.9,0.6,0.85,26.8259
34,personal-lora-fluxdev-florence2-r16,003200,01,20250107094326,1.0,0.8,0.8,0.4,0.9,0.9,0.9,38.0822
35,personal-lora-fluxdev-florence2-r16,003800,00,20250107100419,1.0,0.9,0.9,0.9,0.0,0.2,0.1,21.8018
36,personal-lora-fluxdev-florence2-r16,000800,00,20250107081858,1.0,0.9,1.0,0.85,1.0,0.8,0.7,20.0378
37,personal-lora-fluxdev-florence2-r16,000600,01,20250107140743,1.0,0.9,0.9,0.7,0.95,0.9,1.0,39.8497
38,personal-lora-fluxdev-florence2-r16,002600,00,20250107151753,1.0,0.9,0.9,0.85,0.9,0.92,0.85,28.5468
39,personal-lora-fluxdev-florence2-r16,000400,01,20250107080507,1.0,0.8,0.8,0.8,0.9,0.8,1.0,39.2003
40,personal-lora-fluxdev-florence2-r16,001000,00,20250107142141,1.0,0.9,1.0,0.8,0.9,0.9,0.8,23.4846
41,personal-lora-fluxdev-florence2-r16,000800,01,20250107081909,1.0,0.85,0.9,0.8,0.95,0.95,0.9,38.3918
42,personal-lora-fluxdev-florence2-r16,002200,02,20250107090830,1.0,0.85,0.85,0.7,1.0,0.7,0.9,32.4377
43,personal-lora-fluxdev-florence2-r16,001800,01,20250107085415,1.0,0.9,0.9,0.9,1.0,0.8,0.8,31.5789
44,personal-lora-fluxdev-florence2-r16,003000,00,20250107153156,1.0,0.9,0.9,0.8,0.6,0.45,0.4,27.4056
45,personal-lora-fluxdev-florence2-r16,003400,01,20250107154615,1.0,0.8,0.8,0.6,0.9,0.9,0.9,37.4781
46,personal-lora-fluxdev-florence2-r16,001400,02,20250107084025,1.0,0.8,0.85,0.8,0.8,0.7,0.7,32.8637
47,personal-lora-fluxdev-florence2-r16,001800,01,20250107144958,1.0,0.8,0.9,0.8,0.9,0.9,1.0,40.136
48,personal-lora-fluxdev-florence2-r16,000600,01,20250107081208,1.0,0.75,0.9,0.7,0.5,0.8,0.9,35.2157
49,personal-lora-fluxdev-florence2-r16,003800,01,20250107160021,1.0,0.8,0.8,0.7,0.9,0.9,0.9,31.5727
50,personal-lora-fluxdev-florence2-r16,001000,01,20250107142153,1.0,0.9,0.6,0.8,0.95,0.9,0.9,39.4324
51,personal-lora-fluxdev-florence2-r16,002000,01,20250107090117,1.0,0.9,0.9,0.8,1.0,0.95,1.0,38.1939
52,personal-lora-fluxdev-florence2-r16,003200,02,20250107153924,1.0,0.85,0.6,0.6,0.9,0.6,0.6,30.9997
53,personal-lora-fluxdev-florence2-r16,001600,02,20250107084726,1.0,0.85,0.7,0.85,0.8,0.4,0.3,30.0297
54,personal-lora-fluxdev-florence2-r16,002000,00,20250107090105,1.0,0.85,0.8,0.8,0.9,0.85,0.95,26.6346
55,personal-lora-fluxdev-florence2-r16,003200,01,20250107153913,1.0,0.8,0.9,0.8,0.9,0.9,0.8,31.9755
56,personal-lora-fluxdev-florence2-r16,003600,01,20250107155317,1.0,0.9,0.7,0.8,0.95,0.9,0.8,30.9849
57,personal-lora-fluxdev-florence2-r16,002400,02,20250107151114,1.0,0.9,0.7,0.85,0.9,0.4,0.6,36.2332
58,personal-lora-fluxdev-florence2-r16,001400,00,20250107084001,0.0,0.95,0.0,0.9,0.0,0.0,0.0,16.0422
59,personal-lora-fluxdev-florence2-r16,000200,00,20250107135323,1.0,0.9,0.9,0.7,0.7,0.8,0.7,20.8918
60,personal-lora-fluxdev-florence2-r16,003800,01,20250107100431,1.0,0.9,0.85,0.8,0.9,0.9,0.9,39.3204
61,personal-lora-fluxdev-florence2-r16,003400,02,20250107154627,1.0,0.9,0.9,0.8,0.95,0.5,0.5,33.1523
62,personal-lora-fluxdev-florence2-r16,003400,00,20250107095016,1.0,0.8,0.9,0.6,0.9,0.8,0.9,26.795
63,personal-lora-fluxdev-florence2-r16,002600,02,20250107092233,0.0,0.8,0.0,0.65,0.0,0.2,0.6,29.9423
64,personal-lora-fluxdev-florence2-r16,001000,01,20250107082611,1.0,0.85,0.9,0.7,0.9,0.9,1.0,36.3181
65,personal-lora-fluxdev-florence2-r16,002800,02,20250107092935,1.0,0.9,0.0,0.7,0.95,0.5,0.4,28.1798
66,personal-lora-fluxdev-florence2-r16,002400,01,20250107091520,1.0,0.9,0.8,0.85,0.95,0.8,0.8,31.7119
67,personal-lora-fluxdev-florence2-r16,003800,00,20250107160009,1.0,0.85,0.5,0.8,0.9,0.9,0.85,28.0395
68,personal-lora-fluxdev-florence2-r16,000200,00,20250107075754,0.0,0.9,0.0,0.9,0.0,0.2,0.0,12.9555
69,personal-lora-fluxdev-florence2-r16,000400,00,20250107140028,1.0,0.8,0.5,0.6,0.6,0.5,0.5,24.1097
70,personal-lora-fluxdev-florence2-r16,001200,01,20250107083311,1.0,0.9,0.9,0.85,0.9,0.9,0.8,32.6025
71,personal-lora-fluxdev-florence2-r16,002200,00,20250107150350,1.0,0.9,0.5,0.95,0.9,0.85,0.85,26.7615
72,personal-lora-fluxdev-florence2-r16,002200,01,20250107090819,1.0,0.9,0.9,0.85,0.9,0.9,1.0,38.2849
73,personal-lora-fluxdev-florence2-r16,002600,01,20250107092222,1.0,0.9,0.92,0.8,0.95,0.8,0.9,30.9623
74,personal-lora-fluxdev-florence2-r16,001600,01,20250107084714,1.0,0.85,0.8,0.7,0.6,0.9,0.9,39.6868
75,personal-lora-fluxdev-florence2-r16,002600,00,20250107092210,1.0,0.9,0.8,0.85,0.95,0.9,0.95,26.7682
76,personal-lora-fluxdev-florence2-r16,000200,01,20250107075806,1.0,0.9,0.7,0.7,0.5,0.9,0.8,40.0958
77,personal-lora-fluxdev-florence2-r16,000600,00,20250107081156,0.0,0.8,0.0,0.95,0.0,0.0,0.0,18.7192
78,personal-lora-fluxdev-florence2-r16,003000,01,20250107153207,1.0,0.8,0.9,0.6,0.9,0.9,0.9,38.6827
79,personal-lora-fluxdev-florence2-r16,000600,02,20250107140755,0.0,0.85,1.0,0.9,0.0,0.0,0.2,27.612
80,personal-lora-fluxdev-florence2-r16,000800,00,20250107141436,0.0,0.85,1.0,0.85,0.0,0.0,0.0,18.615
81,personal-lora-fluxdev-florence2-r16,002200,00,20250107090807,0.0,0.9,0.85,0.75,0.0,0.0,0.0,18.5557
82,personal-lora-fluxdev-florence2-r16,003000,02,20250107153219,1.0,0.9,0.8,0.65,0.9,0.6,0.6,30.7668
83,personal-lora-fluxdev-florence2-r16,002800,02,20250107152519,1.0,0.85,0.7,0.6,0.9,0.3,0.3,32.2051
84,personal-lora-fluxdev-florence2-r16,002400,00,20250107091508,1.0,0.9,0.9,0.75,0.9,0.9,0.85,26.2456
85,personal-lora-fluxdev-florence2-r16,001600,02,20250107144309,1.0,0.9,0.9,0.75,1.0,0.2,0.4,34.0593
86,personal-lora-fluxdev-florence2-r16,003800,02,20250107160033,1.0,0.8,0.9,0.8,0.9,0.5,0.6,30.4532
87,personal-lora-fluxdev-florence2-r16,003400,00,20250107154604,1.0,0.9,0.8,0.8,0.9,0.8,0.8,27.5305
88,personal-lora-fluxdev-florence2-r16,002400,02,20250107091532,1.0,0.9,0.8,0.9,0.1,0.6,0.6,33.4078
89,personal-lora-fluxdev-florence2-r16,001600,00,20250107084703,1.0,1.0,0.9,0.8,0.95,0.85,0.9,27.8077
90,personal-lora-fluxdev-florence2-r16,002200,02,20250107150414,1.0,0.84,0.9,0.6,0.8,0.8,0.9,33.8177
91,personal-lora-fluxdev-florence2-r16,002800,01,20250107092923,1.0,0.9,0.9,0.75,0.9,0.9,0.9,36.433
92,personal-lora-fluxdev-florence2-r16,000400,01,20250107140040,1.0,0.9,1.0,0.8,0.7,0.8,0.9,41.2867
93,personal-lora-fluxdev-florence2-r16,003600,00,20250107095717,1.0,0.85,0.85,0.7,0.2,0.4,0.2,21.6293
94,personal-lora-fluxdev-florence2-r16,003600,02,20250107095741,1.0,0.8,0.8,0.7,0.9,0.9,0.8,36.2578
95,personal-lora-fluxdev-florence2-r16,002800,01,20250107152507,1.0,0.85,0.8,0.6,0.95,0.9,0.9,38.4208
96,personal-lora-fluxdev-florence2-r16,001200,00,20250107142841,1.0,0.95,0.5,0.85,0.95,0.95,0.8,26.7316
97,personal-lora-fluxdev-florence2-r16,001600,01,20250107144258,1.0,0.9,0.8,0.8,0.9,0.9,1.0,37.6903
98,personal-lora-fluxdev-florence2-r16,001800,00,20250107085404,0.0,0.9,0.3,0.85,0.0,0.0,0.0,19.5877
99,personal-lora-fluxdev-florence2-r16,002000,01,20250107145700,1.0,0.85,0.9,0.8,0.9,0.8,0.9,32.1588
100,personal-lora-fluxdev-florence2-r16,000400,00,20250107080455,1.0,0.9,0.0,0.6,0.0,0.2,0.4,15.8694
101,personal-lora-fluxdev-florence2-r16,002400,01,20250107151103,1.0,0.85,0.95,0.75,0.95,0.9,0.9,35.2368
102,personal-lora-fluxdev-florence2-r16,003600,02,20250107155329,1.0,0.9,0.75,0.6,0.9,0.5,0.5,31.2994
103,personal-lora-fluxdev-florence2-r16,002200,01,20250107150402,1.0,0.85,0.9,0.8,1.0,0.8,0.8,30.2513
104,personal-lora-fluxdev-florence2-r16,001200,02,20250107083323,0.0,0.85,0.8,0.9,0.0,0.2,0.5,32.1686
105,personal-lora-fluxdev-florence2-r16,001000,00,20250107082559,0.0,0.85,0.9,0.9,0.0,0.3,0.5,25.0041
106,personal-lora-fluxdev-florence2-r16,003000,00,20250107093613,1.0,0.9,0.95,0.92,0.9,0.8,0.7,26.6434
107,personal-lora-fluxdev-florence2-r16,000600,00,20250107140731,1.0,0.95,0.95,0.87,0.6,0.5,0.4,20.6968
108,personal-lora-fluxdev-florence2-r16,001400,01,20250107143556,1.0,0.9,0.8,0.7,0.9,0.8,0.9,38.6504
109,personal-lora-fluxdev-florence2-r16,000800,01,20250107141448,1.0,0.9,0.9,0.85,0.9,0.9,0.9,39.081
110,personal-lora-fluxdev-florence2-r16,001200,02,20250107142904,1.0,0.8,0.8,0.7,0.75,0.35,0.3,32.0009
111,personal-lora-fluxdev-florence2-r16,003800,02,20250107100443,1.0,0.8,0.9,0.9,0.8,0.3,0.5,30.5466
112,personal-lora-fluxdev-florence2-r16,003400,01,20250107095028,1.0,0.8,0.9,0.62,0.9,1.0,0.95,32.1456
113,personal-lora-fluxdev-florence2-r16,001800,02,20250107145009,1.0,0.85,0.8,0.6,0.9,0.5,0.4,32.0895
